date,new_onset_events
2020-01-28,15
2020-01-29,20
2020-01-30,24
2020-01-31,28
2020-02-01,54
2020-02-02,37
2020-02-03,24
2020-02-04,23
2020-02-05,32
2020-02-06,26
2020-02-07,17
2020-02-08,20
2020-02-09,17
2020-02-10,62
2020-02-11,24
2020-02-12,54
2020-02-13,46
2020-02-14,64
2020-02-15,143
2020-02-16,87
2020-02-17,131
2020-02-18,154
2020-02-19,131
2020-02-20,383
2020-02-21,297
2020-02-22,366
2020-02-23,474
2020-02-24,623
2020-02-25,781
2020-02-26,695
2020-02-27,805
2020-02-28,1138
2020-02-29,1006
2020-03-01,2253
2020-03-02,1805
2020-03-03,2040
2020-03-04,1755
2020-03-05,2392
2020-03-06,2669
2020-03-07,2856
2020-03-08,3341
2020-03-09,3955
2020-03-10,5484
2020-03-11,3729
2020-03-12,4240
2020-03-13,4736
2020-03-14,4111
2020-03-15,5209
2020-03-16,4714
2020-03-17,4029
2020-03-18,4224
2020-03-19,3758
2020-03-20,5355
2020-03-21,3320
2020-03-22,3330
2020-03-23,3803
2020-03-24,3044
2020-03-25,3236
2020-03-26,2783
2020-03-27,3010
2020-03-28,2684
2020-03-29,2089
2020-03-30,3062
2020-03-31,2140
2020-04-01,3353
2020-04-02,2159
2020-04-03,2253
2020-04-04,1875
2020-04-05,1701
2020-04-06,1959
2020-04-07,1809
2020-04-08,1801
2020-04-09,1621
2020-04-10,2199
2020-04-11,1294
2020-04-12,1437
2020-04-13,1314
2020-04-14,1544
2020-04-15,1727
2020-04-16,1368
2020-04-17,1342
2020-04-18,1124
2020-04-19,883
2020-04-20,1605
2020-04-21,1015
2020-04-22,1027
2020-04-23,949
2020-04-24,833
2020-04-25,732
2020-04-26,572
2020-04-27,898
2020-04-28,661
2020-04-29,613
2020-04-30,554
2020-05-01,551
2020-05-02,411
2020-05-03,322
2020-05-04,448
2020-05-05,456
2020-05-06,385
2020-05-07,355
2020-05-08,404
2020-05-09,217
2020-05-10,272
2020-05-11,319
2020-05-12,323
2020-05-13,278
2020-05-14,239
2020-05-15,272
2020-05-16,186
2020-05-17,153
2020-05-18,255
2020-05-19,207
2020-05-20,228
2020-05-21,170
2020-05-22,155
2020-05-23,112
2020-05-24,82
2020-05-25,175
2020-05-26,144
2020-05-27,156
2020-05-28,111
2020-05-29,120
2020-05-30,94
2020-05-31,59
2020-06-01,134
2020-06-02,59
2020-06-03,111
2020-06-04,86
2020-06-05,115
2020-06-06,76
2020-06-07,66
2020-06-08,113
2020-06-09,96
2020-06-10,106
2020-06-11,79
2020-06-12,102
2020-06-13,66
2020-06-14,77
2020-06-15,97
2020-06-16,83
2020-06-17,73
2020-06-18,72
2020-06-19,73
2020-06-20,59
2020-06-21,54
2020-06-22,84
2020-06-23,66
2020-06-24,87
2020-06-25,77
2020-06-26,81
2020-06-27,63
2020-06-28,53
2020-06-29,86
2020-06-30,69
2020-07-01,103
2020-07-02,78
2020-07-03,66
2020-07-04,67
2020-07-05,59
2020-07-06,89
2020-07-07,93
2020-07-08,97
2020-07-09,79
2020-07-10,102
2020-07-11,80
2020-07-12,71
2020-07-13,97
