day0,n_cas,n_inf_median,n_inf_02p5,n_inf_05p0,n_inf_95p0,n_inf_97p5,det_rate_median,det_rate_02p5,det_rate_05p0,det_rate_95p0,det_rate_97p5
0,0.00000e+00,5.71895e+00,5.49947e-01,8.36122e-01,2.73410e+01,3.53665e+01,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34
1,0.00000e+00,1.27922e+01,1.25652e+00,1.90436e+00,6.02239e+01,7.76633e+01,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34
2,0.00000e+00,2.15062e+01,2.16572e+00,3.26532e+00,1.00038e+02,1.28320e+02,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34
3,0.00000e+00,3.23111e+01,3.35076e+00,5.00045e+00,1.47844e+02,1.89016e+02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
4,0.00000e+00,4.56555e+01,4.88309e+00,7.21991e+00,2.05211e+02,2.61372e+02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
5,0.00000e+00,6.20086e+01,6.86202e+00,1.00294e+01,2.74084e+02,3.48586e+02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
6,0.00000e+00,8.21413e+01,9.36397e+00,1.36014e+01,3.56880e+02,4.52305e+02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
7,0.00000e+00,1.07066e+02,1.25276e+01,1.81742e+01,4.55367e+02,5.75605e+02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
8,0.00000e+00,1.37521e+02,1.66340e+01,2.39143e+01,5.72515e+02,7.21819e+02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
9,0.00000e+00,1.74565e+02,2.18235e+01,3.12377e+01,7.13705e+02,8.95634e+02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
10,0.00000e+00,2.20499e+02,2.84751e+01,4.05353e+01,8.82372e+02,1.10206e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
11,0.00000e+00,2.76086e+02,3.70204e+01,5.21050e+01,1.08211e+03,1.34449e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
12,0.00000e+00,3.44469e+02,4.77992e+01,6.67201e+01,1.31690e+03,1.63443e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
13,0.00000e+00,4.28323e+02,6.16216e+01,8.52169e+01,1.60077e+03,1.97777e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
14,0.00000e+00,5.29722e+02,7.90336e+01,1.08837e+02,1.93382e+03,2.38499e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
15,0.00000e+00,6.53317e+02,1.01079e+02,1.38563e+02,2.33495e+03,2.85967e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
16,0.00000e+00,8.02098e+02,1.28367e+02,1.75815e+02,2.80833e+03,3.42894e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
17,0.00000e+00,9.83801e+02,1.63342e+02,2.22732e+02,3.35788e+03,4.09421e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
18,0.00000e+00,1.20184e+03,2.07587e+02,2.81213e+02,4.00880e+03,4.87231e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
19,0.00000e+00,1.46678e+03,2.63111e+02,3.53470e+02,4.78462e+03,5.79384e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
20,0.00000e+00,1.78729e+03,3.32348e+02,4.44024e+02,5.70557e+03,6.88654e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
21,0.00000e+00,2.17040e+03,4.20182e+02,5.56000e+02,6.78377e+03,8.16558e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
22,0.00000e+00,2.62917e+03,5.27694e+02,6.96142e+02,8.05200e+03,9.65379e+03,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
23,0.00000e+00,3.18367e+03,6.62948e+02,8.66763e+02,9.51198e+03,1.14136e+04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
24,0.00000e+00,3.84353e+03,8.32526e+02,1.07762e+03,1.12618e+04,1.34039e+04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
25,0.00000e+00,4.63565e+03,1.04485e+03,1.33779e+03,1.33053e+04,1.57439e+04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
26,0.00000e+00,5.58717e+03,1.30700e+03,1.65797e+03,1.57026e+04,1.84838e+04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
27,0.00000e+00,6.72002e+03,1.62960e+03,2.05051e+03,1.84860e+04,2.16277e+04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
28,0.00000e+00,8.05860e+03,2.02213e+03,2.52857e+03,2.16641e+04,2.53374e+04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
29,0.00000e+00,9.64781e+03,2.50982e+03,3.10962e+03,2.53653e+04,2.96302e+04,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00
