kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_criterion,param_learning_rate,param_loss,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5_friedman_mse_0.5_quantile_3_5_500,1.8089481989542644,0.03905892614337806,0.0019714037577311196,9.397852998604238e-05,0.5,friedman_mse,0.5,quantile,3,5,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 500}",0.47462612396053516,0.8215464543308124,-1.9696033253657736,-0.22447691569147535,1.2420918023541538,1
0.5_friedman_mse_0.45_quantile_2_7_100,0.2623494466145833,0.005772299221706879,0.0009757677714029948,5.930198545349203e-05,0.5,friedman_mse,0.45,quantile,2,7,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 7, 'n_estimators': 100}",-0.004958817738676791,0.7917885205361095,-1.5310009088974952,-0.24805706870002084,0.9637289567395565,2
0.5_friedman_mse_0.45_quantile_2_9_100,0.26302870114644367,0.002302857038151065,0.0009479522705078125,2.0659580935234878e-05,0.5,friedman_mse,0.45,quantile,2,9,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 9, 'n_estimators': 100}",-0.5397694391105599,0.7559361115326232,-0.982869419913406,-0.25556758249711425,0.7377620169692141,3
0.5_friedman_mse_0.45_quantile_2_2_250,0.6447807153066,0.004367688119560165,0.001237312952677409,6.333573087338226e-05,0.5,friedman_mse,0.45,quantile,2,2,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 250}",-1.2001967226027834,0.8925236567279478,-0.4763080199019889,-0.26132702859227486,0.8677681205195008,4
0.5_friedman_mse_0.45_quantile_2_14_250,0.6319471995035807,0.003130848444928575,0.0012073516845703125,6.322034769402733e-05,0.5,friedman_mse,0.45,quantile,2,14,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 14, 'n_estimators': 250}",-1.5724579219304666,0.8038006641458716,-0.2367523241965559,-0.33513652732705035,0.9725947445003653,5
0.5_friedman_mse_0.5_quantile_3_9_100,0.3503870169321696,0.006293599380225368,0.001013358434041341,6.924663221625424e-05,0.5,friedman_mse,0.5,quantile,3,9,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 9, 'n_estimators': 100}",0.16265452875904862,0.7747895145160373,-2.0162010115907396,-0.3595856561052179,1.1977640661442868,6
0.5_friedman_mse_0.5_quantile_2_19_100,0.25339992841084796,0.0022058087709441268,0.0010263919830322266,8.871819842396044e-06,0.5,friedman_mse,0.5,quantile,2,19,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 19, 'n_estimators': 100}",0.23337626728390293,0.8898077696067941,-2.2081341504822785,-0.3616500378638605,1.3328799052989588,7
0.5_friedman_mse_0.25_quantile_2_8_100,0.25339706738789874,0.007243279403973375,0.0010363260904947917,8.772212669758101e-05,0.5,friedman_mse,0.25,quantile,2,8,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 8, 'n_estimators': 100}",-0.10538988058169374,0.8828069185994775,-1.9262504616506995,-0.3829444745443052,1.163465586328709,8
0.5_friedman_mse_0.25_quantile_2_10_500,1.297752062479655,0.007193633971570675,0.0016979376475016277,6.269436548562746e-05,0.5,friedman_mse,0.25,quantile,2,10,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 500}",-0.3916019099311474,0.8979968775186243,-1.671086954749573,-0.3882306623873653,1.048826791638468,9
0.5_friedman_mse_0.5_quantile_3_8_100,0.36604754130045575,0.0066734963139576395,0.0009740193684895834,1.0613123594889753e-05,0.5,friedman_mse,0.5,quantile,3,8,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 8, 'n_estimators': 100}",0.2171419893559442,0.8340830355948934,-2.284136193771534,-0.41097038960689886,1.348262254670164,10
0.5_friedman_mse_0.45_quantile_2_19_250,0.6229563554128011,0.008789624277237906,0.001269976298014323,6.956222682913892e-05,0.5,friedman_mse,0.45,quantile,2,19,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 19, 'n_estimators': 250}",-0.9001412749549551,0.8814462041901092,-1.2570460758444275,-0.4252470488697578,0.9353896522906454,11
0.5_friedman_mse_0.5_quantile_3_18_500,1.699204921722412,0.027102401792082204,0.0019493897755940754,7.80257558956563e-05,0.5,friedman_mse,0.5,quantile,3,18,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 18, 'n_estimators': 500}",-0.42443479291896447,0.8204793120171758,-1.7907242254853233,-0.46489323546237066,1.0664031891506982,12
0.5_friedman_mse_0.45_quantile_2_18_500,1.2624852657318115,0.01103030241916778,0.001741647720336914,0.00012888033067187392,0.5,friedman_mse,0.45,quantile,2,18,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 18, 'n_estimators': 500}",0.14528450304282858,0.8088393947653051,-2.363773444209739,-0.4698831821338684,1.366306826734406,13
0.5_friedman_mse_0.30000000000000004_quantile_4_5_250,1.1673214435577393,0.041379162849606216,0.0015883445739746094,0.00019506117612462184,0.5,friedman_mse,0.30000000000000004,quantile,4,5,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.30000000000000004, 'loss': 'quantile', 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 250}",-0.7552874507604435,0.8308153663713762,-1.4965910404320004,-0.4736877082736892,0.9707999989128574,14
0.5_friedman_mse_0.5_quantile_3_2_100,0.3574865659077962,0.0036404745960548737,0.0010306835174560547,1.5083940396777215e-05,0.5,friedman_mse,0.5,quantile,3,2,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-0.12141434558298658,0.8430446075653699,-2.2150267077109276,-0.4977988152428481,1.276505384263296,15
0.5_friedman_mse_0.25_quantile_4_15_100,0.4445783297220866,0.007626144713755545,0.0010229746500651042,6.0968789304380674e-05,0.5,friedman_mse,0.25,quantile,4,15,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 4, 'min_samples_split': 15, 'n_estimators': 100}",-0.599795113004506,0.8474625858908398,-1.7411105030505092,-0.49781434338805847,1.0592380019701306,16
0.5_friedman_mse_0.5_quantile_3_4_100,0.3633086681365967,0.004162082757057527,0.0010300477345784504,6.439430371491783e-05,0.5,friedman_mse,0.5,quantile,3,4,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 100}",0.20668565024054686,0.7994437927494595,-2.5269753479390213,-0.5069486349830049,1.448728521766488,17
0.5_friedman_mse_0.5_quantile_2_6_250,0.645175059636434,0.0029678225614927873,0.0012500286102294922,3.81325654798106e-05,0.5,friedman_mse,0.5,quantile,2,6,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 6, 'n_estimators': 250}",-0.10785331136568033,0.8600207161311995,-2.2892879982962793,-0.5123735311769201,1.3171342125663872,18
0.5_friedman_mse_0.5_quantile_3_14_250,0.868667999903361,0.01660965088015558,0.0014020601908365886,9.690717298026616e-05,0.5,friedman_mse,0.5,quantile,3,14,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 14, 'n_estimators': 250}",0.3546066538574526,0.663742205318403,-2.6208458569489412,-0.5341656659243619,1.4808931678787745,19
0.5_friedman_mse_0.45_quantile_2_11_500,1.2766172885894775,0.011499388102111941,0.0016344388326009114,2.4049438059407802e-05,0.5,friedman_mse,0.45,quantile,2,11,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 11, 'n_estimators': 500}",-2.0414995850607367,0.8994383563495328,-0.47101716918395864,-0.5376927992983874,1.201558217078969,20
0.5_friedman_mse_0.1_quantile_3_11_500,1.7792258262634277,0.03208756994913784,0.0018059412638346355,5.767901229850492e-05,0.5,friedman_mse,0.1,quantile,3,11,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 11, 'n_estimators': 500}",-0.6889355912116839,0.8709790518585848,-1.8351546306912927,-0.551037056681464,1.1090692438036882,21
0.5_friedman_mse_0.25_quantile_2_17_500,1.2373932997385662,0.026244401449362954,0.001714944839477539,4.254819859734386e-05,0.5,friedman_mse,0.25,quantile,2,17,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 17, 'n_estimators': 500}",-0.15326392222998408,0.9054827069755462,-2.4503012052759297,-0.5660274735101225,1.4007383120770034,22
0.5_friedman_mse_0.45_quantile_2_18_250,0.6353159745534261,0.011997890331184018,0.0011936028798421223,5.716557431327124e-05,0.5,friedman_mse,0.45,quantile,2,18,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 18, 'n_estimators': 250}",-0.1848555480291858,0.9069743957107299,-2.4319468664728117,-0.5699426729304226,1.3900402557933011,23
0.5_friedman_mse_0.45_quantile_5_15_250,1.3859153588612874,0.036515727529816654,0.0014905929565429688,5.382172907626947e-05,0.5,friedman_mse,0.45,quantile,5,15,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 5, 'min_samples_split': 15, 'n_estimators': 250}",-2.0410687265851806,0.6937534948428004,-0.44314913314388193,-0.5968214549620874,1.12176186794816,24
0.5_friedman_mse_0.25_quantile_5_5_500,2.899221340815226,0.06434569288759555,0.0023102760314941406,2.5581621010760747e-05,0.5,friedman_mse,0.25,quantile,5,5,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 500}",-0.20408657617714887,0.7514793239516921,-2.347470837544845,-0.6000260299234339,1.2957492206273387,25
0.5_friedman_mse_0.25_quantile_3_3_100,0.35680635770161945,0.009571165430667022,0.0010073184967041016,3.0458537250185876e-05,0.5,friedman_mse,0.25,quantile,3,3,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 100}",-1.4557680616004758,0.8619274713917854,-1.2082207123490498,-0.6006871008525801,1.0391506027317143,26
0.5_friedman_mse_0.15000000000000002_quantile_4_4_500,2.388455549875895,0.06546070551391896,0.002266486485799154,0.00010042024007062056,0.5,friedman_mse,0.15000000000000002,quantile,4,4,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.15000000000000002, 'loss': 'quantile', 'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 500}",-1.4269564972420081,0.8355760938530638,-1.210839844183678,-0.6007400825242075,1.019454011002802,27
0.5_friedman_mse_0.25_quantile_8_17_250,1.9588709672292073,0.04730950895591673,0.0018194516499837239,0.00011191059846573747,0.5,friedman_mse,0.25,quantile,8,17,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 8, 'min_samples_split': 17, 'n_estimators': 250}",-0.26662676972083754,0.7998001316910471,-2.3514089367600493,-0.6060785249299466,1.3086762443675708,28
