"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",414974,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",436785,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",457314,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",471696,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",483769,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",499144,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2020","2020",507291,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y7","7 anni","99","totale","2020","2020",529473,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y8","8 anni","99","totale","2020","2020",537902,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y9","9 anni","99","totale","2020","2020",554146,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y10","10 anni","99","totale","2020","2020",562764,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y11","11 anni","99","totale","2020","2020",569337,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y12","12 anni","99","totale","2020","2020",568025,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y13","13 anni","99","totale","2020","2020",569063,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y14","14 anni","99","totale","2020","2020",565871,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y15","15 anni","99","totale","2020","2020",572210,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y16","16 anni","99","totale","2020","2020",568006,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y17","17 anni","99","totale","2020","2020",565389,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y18","18 anni","99","totale","2020","2020",574707,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",590744,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",587458,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",593017,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",590999,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y23","23 anni","99","totale","2020","2020",592782,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y24","24 anni","99","totale","2020","2020",591632,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y25","25 anni","99","totale","2020","2020",598620,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y26","26 anni","99","totale","2020","2020",610326,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y27","27 anni","99","totale","2020","2020",636742,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y28","28 anni","99","totale","2020","2020",635013,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y29","29 anni","99","totale","2020","2020",647793,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y30","30 anni","99","totale","2020","2020",646752,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y31","31 anni","99","totale","2020","2020",661651,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y32","32 anni","99","totale","2020","2020",649095,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y33","33 anni","99","totale","2020","2020",652402,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y34","34 anni","99","totale","2020","2020",672541,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y35","35 anni","99","totale","2020","2020",685014,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y36","36 anni","99","totale","2020","2020",696978,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y37","37 anni","99","totale","2020","2020",720776,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y38","38 anni","99","totale","2020","2020",725693,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y39","39 anni","99","totale","2020","2020",743730,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y40","40 anni","99","totale","2020","2020",766871,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y41","41 anni","99","totale","2020","2020",807492,,
