"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",212756,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",202218,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",414974,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",224617,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",436785,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",212168,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y2","2 anni","99","totale","2020","2020",235153,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",457314,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2020","2020",222161,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",471696,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",229589,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",242107,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y4","4 anni","99","totale","2020","2020",248565,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",483769,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y4","4 anni","99","totale","2020","2020",235204,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y5","5 anni","99","totale","2020","2020",256796,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y5","5 anni","99","totale","2020","2020",499144,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y5","5 anni","99","totale","2020","2020",242348,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y6","6 anni","99","totale","2020","2020",246458,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y6","6 anni","99","totale","2020","2020",260833,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y6","6 anni","99","totale","2020","2020",507291,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y7","7 anni","99","totale","2020","2020",272305,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y7","7 anni","99","totale","2020","2020",529473,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y7","7 anni","99","totale","2020","2020",257168,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y8","8 anni","99","totale","2020","2020",276769,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y8","8 anni","99","totale","2020","2020",261133,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y8","8 anni","99","totale","2020","2020",537902,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y9","9 anni","99","totale","2020","2020",554146,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y9","9 anni","99","totale","2020","2020",268609,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y9","9 anni","99","totale","2020","2020",285537,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y10","10 anni","99","totale","2020","2020",289596,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y10","10 anni","99","totale","2020","2020",273168,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y10","10 anni","99","totale","2020","2020",562764,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y11","11 anni","99","totale","2020","2020",292556,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y11","11 anni","99","totale","2020","2020",276781,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y11","11 anni","99","totale","2020","2020",569337,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y12","12 anni","99","totale","2020","2020",568025,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y12","12 anni","99","totale","2020","2020",292641,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y12","12 anni","99","totale","2020","2020",275384,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y13","13 anni","99","totale","2020","2020",293544,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y13","13 anni","99","totale","2020","2020",275519,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y13","13 anni","99","totale","2020","2020",569063,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y14","14 anni","99","totale","2020","2020",292112,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y14","14 anni","99","totale","2020","2020",273759,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y14","14 anni","99","totale","2020","2020",565871,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y15","15 anni","99","totale","2020","2020",294506,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y15","15 anni","99","totale","2020","2020",277704,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y15","15 anni","99","totale","2020","2020",572210,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y16","16 anni","99","totale","2020","2020",292771,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y16","16 anni","99","totale","2020","2020",275235,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y16","16 anni","99","totale","2020","2020",568006,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y17","17 anni","99","totale","2020","2020",291807,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y17","17 anni","99","totale","2020","2020",273582,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y17","17 anni","99","totale","2020","2020",565389,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y18","18 anni","99","totale","2020","2020",298000,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y18","18 anni","99","totale","2020","2020",276707,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y18","18 anni","99","totale","2020","2020",574707,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y19","19 anni","99","totale","2020","2020",308381,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y19","19 anni","99","totale","2020","2020",282363,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y19","19 anni","99","totale","2020","2020",590744,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y20","20 anni","99","totale","2020","2020",308189,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y20","20 anni","99","totale","2020","2020",279269,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y20","20 anni","99","totale","2020","2020",587458,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y21","21 anni","99","totale","2020","2020",313182,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y21","21 anni","99","totale","2020","2020",279835,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y21","21 anni","99","totale","2020","2020",593017,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y22","22 anni","99","totale","2020","2020",309970,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y22","22 anni","99","totale","2020","2020",281029,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y22","22 anni","99","totale","2020","2020",590999,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y23","23 anni","99","totale","2020","2020",309688,,
"IT","Italia","JAN","popolazione al 1º gennaio","2","femmine","Y23","23 anni","99","totale","2020","2020",283094,,
